CAT,NUMCAP,DESC,MEDICO
B75,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B76,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B77,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B78,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B79,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B80,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B81,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B82,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B83,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B84,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B85,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B86,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B87,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B88,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B89,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B90,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B91,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B92,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B93,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B94,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B95,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B96,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B97,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B98,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
B99,1,I.   Algumas doenças infecciosas e parasitárias,Infectologista
C00,2,II.  Neoplasias (tumores),Oncologista/Clínico
C01,2,II.  Neoplasias (tumores),Oncologista/Clínico
C02,2,II.  Neoplasias (tumores),Oncologista/Clínico
C03,2,II.  Neoplasias (tumores),Oncologista/Clínico
C04,2,II.  Neoplasias (tumores),Oncologista/Clínico
C05,2,II.  Neoplasias (tumores),Oncologista/Clínico
C06,2,II.  Neoplasias (tumores),Oncologista/Clínico
C07,2,II.  Neoplasias (tumores),Oncologista/Clínico
C08,2,II.  Neoplasias (tumores),Oncologista/Clínico
C09,2,II.  Neoplasias (tumores),Oncologista/Clínico
C10,2,II.  Neoplasias (tumores),Oncologista/Clínico
C11,2,II.  Neoplasias (tumores),Oncologista/Clínico
C12,2,II.  Neoplasias (tumores),Oncologista/Clínico
C13,2,II.  Neoplasias (tumores),Oncologista/Clínico
C14,2,II.  Neoplasias (tumores),Oncologista/Clínico
C15,2,II.  Neoplasias (tumores),Oncologista/Clínico
C16,2,II.  Neoplasias (tumores),Oncologista/Clínico
C17,2,II.  Neoplasias (tumores),Oncologista/Clínico
C18,2,II.  Neoplasias (tumores),Oncologista/Clínico
C19,2,II.  Neoplasias (tumores),Oncologista/Clínico
C20,2,II.  Neoplasias (tumores),Oncologista/Clínico
C21,2,II.  Neoplasias (tumores),Oncologista/Clínico
C22,2,II.  Neoplasias (tumores),Oncologista/Clínico
C23,2,II.  Neoplasias (tumores),Oncologista/Clínico
C24,2,II.  Neoplasias (tumores),Oncologista/Clínico
C25,2,II.  Neoplasias (tumores),Oncologista/Clínico
C26,2,II.  Neoplasias (tumores),Oncologista/Clínico
C27,2,II.  Neoplasias (tumores),Oncologista/Clínico
C28,2,II.  Neoplasias (tumores),Oncologista/Clínico
C29,2,II.  Neoplasias (tumores),Oncologista/Clínico
C30,2,II.  Neoplasias (tumores),Oncologista/Clínico
C31,2,II.  Neoplasias (tumores),Oncologista/Clínico
C32,2,II.  Neoplasias (tumores),Oncologista/Clínico
C33,2,II.  Neoplasias (tumores),Oncologista/Clínico
C34,2,II.  Neoplasias (tumores),Oncologista/Clínico
C35,2,II.  Neoplasias (tumores),Oncologista/Clínico
C36,2,II.  Neoplasias (tumores),Oncologista/Clínico
C37,2,II.  Neoplasias (tumores),Oncologista/Clínico
C38,2,II.  Neoplasias (tumores),Oncologista/Clínico
C39,2,II.  Neoplasias (tumores),Oncologista/Clínico
C40,2,II.  Neoplasias (tumores),Oncologista/Clínico
C41,2,II.  Neoplasias (tumores),Oncologista/Clínico
C42,2,II.  Neoplasias (tumores),Oncologista/Clínico
C43,2,II.  Neoplasias (tumores),Oncologista/Clínico
C44,2,II.  Neoplasias (tumores),Oncologista/Clínico
C45,2,II.  Neoplasias (tumores),Oncologista/Clínico
C46,2,II.  Neoplasias (tumores),Oncologista/Clínico
C47,2,II.  Neoplasias (tumores),Oncologista/Clínico
C48,2,II.  Neoplasias (tumores),Oncologista/Clínico
C49,2,II.  Neoplasias (tumores),Oncologista/Clínico
C50,2,II.  Neoplasias (tumores),Oncologista/Clínico
C51,2,II.  Neoplasias (tumores),Oncologista/Clínico
C52,2,II.  Neoplasias (tumores),Oncologista/Clínico
C53,2,II.  Neoplasias (tumores),Oncologista/Clínico
C54,2,II.  Neoplasias (tumores),Oncologista/Clínico
C55,2,II.  Neoplasias (tumores),Oncologista/Clínico
C56,2,II.  Neoplasias (tumores),Oncologista/Clínico
C57,2,II.  Neoplasias (tumores),Oncologista/Clínico
C58,2,II.  Neoplasias (tumores),Oncologista/Clínico
C59,2,II.  Neoplasias (tumores),Oncologista/Clínico
C60,2,II.  Neoplasias (tumores),Oncologista/Clínico
C61,2,II.  Neoplasias (tumores),Oncologista/Clínico
C62,2,II.  Neoplasias (tumores),Oncologista/Clínico
C63,2,II.  Neoplasias (tumores),Oncologista/Clínico
C64,2,II.  Neoplasias (tumores),Oncologista/Clínico
C65,2,II.  Neoplasias (tumores),Oncologista/Clínico
C66,2,II.  Neoplasias (tumores),Oncologista/Clínico
C67,2,II.  Neoplasias (tumores),Oncologista/Clínico
C68,2,II.  Neoplasias (tumores),Oncologista/Clínico
C69,2,II.  Neoplasias (tumores),Oncologista/Clínico
C70,2,II.  Neoplasias (tumores),Oncologista/Clínico
C71,2,II.  Neoplasias (tumores),Oncologista/Clínico
C72,2,II.  Neoplasias (tumores),Oncologista/Clínico
C73,2,II.  Neoplasias (tumores),Oncologista/Clínico
C74,2,II.  Neoplasias (tumores),Oncologista/Clínico
C75,2,II.  Neoplasias (tumores),Oncologista/Clínico
C76,2,II.  Neoplasias (tumores),Oncologista/Clínico
C77,2,II.  Neoplasias (tumores),Oncologista/Clínico
C78,2,II.  Neoplasias (tumores),Oncologista/Clínico
C79,2,II.  Neoplasias (tumores),Oncologista/Clínico
C80,2,II.  Neoplasias (tumores),Oncologista/Clínico
C81,2,II.  Neoplasias (tumores),Oncologista/Clínico
C82,2,II.  Neoplasias (tumores),Oncologista/Clínico
C83,2,II.  Neoplasias (tumores),Oncologista/Clínico
C84,2,II.  Neoplasias (tumores),Oncologista/Clínico
C85,2,II.  Neoplasias (tumores),Oncologista/Clínico
C86,2,II.  Neoplasias (tumores),Oncologista/Clínico
C87,2,II.  Neoplasias (tumores),Oncologista/Clínico
C88,2,II.  Neoplasias (tumores),Oncologista/Clínico
C89,2,II.  Neoplasias (tumores),Oncologista/Clínico
C90,2,II.  Neoplasias (tumores),Oncologista/Clínico
C91,2,II.  Neoplasias (tumores),Oncologista/Clínico
C92,2,II.  Neoplasias (tumores),Oncologista/Clínico
C93,2,II.  Neoplasias (tumores),Oncologista/Clínico
C94,2,II.  Neoplasias (tumores),Oncologista/Clínico
C95,2,II.  Neoplasias (tumores),Oncologista/Clínico
C96,2,II.  Neoplasias (tumores),Oncologista/Clínico
C97,2,II.  Neoplasias (tumores),Oncologista/Clínico
C98,2,II.  Neoplasias (tumores),Oncologista/Clínico
C99,2,II.  Neoplasias (tumores),Oncologista/Clínico
D00,2,II.  Neoplasias (tumores),Oncologista/Clínico
D01,2,II.  Neoplasias (tumores),Oncologista/Clínico
D02,2,II.  Neoplasias (tumores),Oncologista/Clínico
D03,2,II.  Neoplasias (tumores),Oncologista/Clínico
D04,2,II.  Neoplasias (tumores),Oncologista/Clínico
D05,2,II.  Neoplasias (tumores),Oncologista/Clínico
D06,2,II.  Neoplasias (tumores),Oncologista/Clínico
D07,2,II.  Neoplasias (tumores),Oncologista/Clínico
D08,2,II.  Neoplasias (tumores),Oncologista/Clínico
D09,2,II.  Neoplasias (tumores),Oncologista/Clínico
D10,2,II.  Neoplasias (tumores),Oncologista/Clínico
D11,2,II.  Neoplasias (tumores),Oncologista/Clínico
D12,2,II.  Neoplasias (tumores),Oncologista/Clínico
D13,2,II.  Neoplasias (tumores),Oncologista/Clínico
D14,2,II.  Neoplasias (tumores),Oncologista/Clínico
D15,2,II.  Neoplasias (tumores),Oncologista/Clínico
D16,2,II.  Neoplasias (tumores),Oncologista/Clínico
D17,2,II.  Neoplasias (tumores),Oncologista/Clínico
D18,2,II.  Neoplasias (tumores),Oncologista/Clínico
D19,2,II.  Neoplasias (tumores),Oncologista/Clínico
D20,2,II.  Neoplasias (tumores),Oncologista/Clínico
D21,2,II.  Neoplasias (tumores),Oncologista/Clínico
D22,2,II.  Neoplasias (tumores),Oncologista/Clínico
D23,2,II.  Neoplasias (tumores),Oncologista/Clínico
D24,2,II.  Neoplasias (tumores),Oncologista/Clínico
D25,2,II.  Neoplasias (tumores),Oncologista/Clínico
D26,2,II.  Neoplasias (tumores),Oncologista/Clínico
D27,2,II.  Neoplasias (tumores),Oncologista/Clínico
D28,2,II.  Neoplasias (tumores),Oncologista/Clínico
D29,2,II.  Neoplasias (tumores),Oncologista/Clínico
D30,2,II.  Neoplasias (tumores),Oncologista/Clínico
D31,2,II.  Neoplasias (tumores),Oncologista/Clínico
D32,2,II.  Neoplasias (tumores),Oncologista/Clínico
D33,2,II.  Neoplasias (tumores),Oncologista/Clínico
D34,2,II.  Neoplasias (tumores),Oncologista/Clínico
D35,2,II.  Neoplasias (tumores),Oncologista/Clínico
D36,2,II.  Neoplasias (tumores),Oncologista/Clínico
D37,2,II.  Neoplasias (tumores),Oncologista/Clínico
D38,2,II.  Neoplasias (tumores),Oncologista/Clínico
D39,2,II.  Neoplasias (tumores),Oncologista/Clínico
D40,2,II.  Neoplasias (tumores),Oncologista/Clínico
D41,2,II.  Neoplasias (tumores),Oncologista/Clínico
D42,2,II.  Neoplasias (tumores),Oncologista/Clínico
D43,2,II.  Neoplasias (tumores),Oncologista/Clínico
D44,2,II.  Neoplasias (tumores),Oncologista/Clínico
D45,2,II.  Neoplasias (tumores),Oncologista/Clínico
D46,2,II.  Neoplasias (tumores),Oncologista/Clínico
D47,2,II.  Neoplasias (tumores),Oncologista/Clínico
D48,2,II.  Neoplasias (tumores),Oncologista/Clínico
D49,2,II.  Neoplasias (tumores),Oncologista/Clínico
D50,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D51,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D52,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D53,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D54,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D55,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D56,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D57,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D58,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D59,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D60,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D61,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D62,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D63,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D64,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D65,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D66,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D67,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D68,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D69,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D70,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D71,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D72,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D73,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D74,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D75,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D76,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D77,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D78,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D79,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D80,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D81,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D82,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D83,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D84,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D85,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D86,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D87,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D88,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D89,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D90,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D91,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D92,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D93,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D94,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D95,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D96,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D97,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D98,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
D99,3,III. Doenças sangue órgãos hemat e transt imunitár,Hematologista
E00,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E01,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E02,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E03,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E04,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E05,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E06,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E07,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E08,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E09,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E10,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E11,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E12,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E13,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E14,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E15,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E16,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E17,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E18,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E19,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E20,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E21,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E22,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E23,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E24,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E25,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E26,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E27,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
E28,4,IV.  Doenças endócrinas nutricionais e metabólicas,Endocrinologista
